Poison/Grass:[('Normal', 100), ('Fire', 200), ('Water', 50), ('Electric', 50), ('Grass', 25), ('Ice', 200), ('Fighting', 50), ('Poison', 100), ('Ground', 100), ('Flying', 200), ('Psychic', 200), ('Bug', 100), ('Rock', 100), ('Ghost', 100), ('Dragon', 100), ('Dark', 100), ('Steel', 100), ('Fairy', 50)]
Flying/Water:[('Normal', 100), ('Fire', 50), ('Water', 50), ('Electric', 400), ('Grass', 100), ('Ice', 100), ('Fighting', 50), ('Poison', 100), ('Ground', 0), ('Flying', 100), ('Psychic', 100), ('Bug', 50), ('Rock', 200), ('Ghost', 100), ('Dragon', 100), ('Dark', 100), ('Steel', 50), ('Fairy', 100)]
Dragon/Grass:[('Normal', 100), ('Fire', 100), ('Water', 25), ('Electric', 25), ('Grass', 25), ('Ice', 400), ('Fighting', 100), ('Poison', 200), ('Ground', 50), ('Flying', 200), ('Psychic', 100), ('Bug', 200), ('Rock', 100), ('Ghost', 100), ('Dragon', 200), ('Dark', 100), ('Steel', 100), ('Fairy', 200)]
Poison/Psychic:[('Normal', 100), ('Fire', 100), ('Water', 100), ('Electric', 100), ('Grass', 50), ('Ice', 100), ('Fighting', 25), ('Poison', 50), ('Ground', 200), ('Flying', 100), ('Psychic', 100), ('Bug', 100), ('Rock', 100), ('Ghost', 200), ('Dragon', 100), ('Dark', 200), ('Steel', 100), ('Fairy', 50)]
Psychic/Water:[('Normal', 100), ('Fire', 50), ('Water', 50), ('Electric', 200), ('Grass', 200), ('Ice', 50), ('Fighting', 50), ('Poison', 100), ('Ground', 100), ('Flying', 100), ('Psychic', 50), ('Bug', 200), ('Rock', 100), ('Ghost', 200), ('Dragon', 100), ('Dark', 200), ('Steel', 50), ('Fairy', 100)]
Water/Flying:[('Normal', 100), ('Fire', 50), ('Water', 50), ('Electric', 400), ('Grass', 100), ('Ice', 100), ('Fighting', 50), ('Poison', 100), ('Ground', 0), ('Flying', 100), ('Psychic', 100), ('Bug', 50), ('Rock', 200), ('Ghost', 100), ('Dragon', 100), ('Dark', 100), ('Steel', 50), ('Fairy', 100)]
Fighting/Flying:[('Normal', 100), ('Fire', 100), ('Water', 100), ('Electric', 200), ('Grass', 50), ('Ice', 200), ('Fighting', 50), ('Poison', 100), ('Ground', 0), ('Flying', 200), ('Psychic', 200), ('Bug', 25), ('Rock', 100), ('Ghost', 100), ('Dragon', 100), ('Dark', 50), ('Steel', 100), ('Fairy', 200)]
Rock/Normal:[('Normal', 50), ('Fire', 50), ('Water', 200), ('Electric', 100), ('Grass', 200), ('Ice', 100), ('Fighting', 400), ('Poison', 50), ('Ground', 200), ('Flying', 50), ('Psychic', 100), ('Bug', 100), ('Rock', 100), ('Ghost', 0), ('Dragon', 100), ('Dark', 100), ('Steel', 200), ('Fairy', 100)]
Rock/Steel:[('Normal', 25), ('Fire', 100), ('Water', 200), ('Electric', 100), ('Grass', 100), ('Ice', 50), ('Fighting', 400), ('Poison', 0), ('Ground', 400), ('Flying', 25), ('Psychic', 50), ('Bug', 50), ('Rock', 50), ('Ghost', 100), ('Dragon', 50), ('Dark', 100), ('Steel', 100), ('Fairy', 50)]
Fire/Psychic:[('Normal', 100), ('Fire', 50), ('Water', 200), ('Electric', 100), ('Grass', 50), ('Ice', 50), ('Fighting', 50), ('Poison', 100), ('Ground', 200), ('Flying', 100), ('Psychic', 50), ('Bug', 100), ('Rock', 200), ('Ghost', 200), ('Dragon', 100), ('Dark', 200), ('Steel', 50), ('Fairy', 50)]
Fairy/Fighting:[('Normal', 100), ('Fire', 100), ('Water', 100), ('Electric', 100), ('Grass', 100), ('Ice', 100), ('Fighting', 50), ('Poison', 200), ('Ground', 100), ('Flying', 200), ('Psychic', 200), ('Bug', 25), ('Rock', 50), ('Ghost', 100), ('Dragon', 0), ('Dark', 25), ('Steel', 200), ('Fairy', 200)]
